episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,3.526547,0.999723,0.004892,0.882193,119,0.000978,10,1.000000,1166,1382,-0.071644,1.181936,1.090975,0.019531,58.125072,15.053038,0.000300
2,3.469384,0.999286,0.004924,0.878826,142,0.000029,10,1.000000,1141,1411,-0.088138,2.083249,1.505290,0.042969,105.057579,21.460838,0.000300
3,3.443823,0.999523,0.004928,0.911958,138,0.000432,10,1.000000,1159,1383,-0.108771,2.192857,1.615828,0.054688,136.010025,24.214705,0.000300
4,4.068650,0.999780,0.004618,0.810031,127,0.001929,10,1.000000,1101,1429,-0.108283,4.145144,2.152009,0.590158,165.566010,30.686937,0.000300
5,4.164043,0.999494,0.004668,0.781894,126,0.002830,10,1.000000,1085,1464,-0.113658,3.848505,2.065959,0.277344,177.583588,31.004589,0.000300
6,4.100542,0.999471,0.004586,0.795780,128,0.003421,10,1.000000,1106,1447,-0.110905,3.499958,1.970978,0.199219,184.162537,32.619560,0.000300
7,3.912463,0.999629,0.004546,0.837749,110,0.004207,10,1.000000,1101,1450,-0.109759,2.756917,1.766674,0.054688,185.717926,33.106670,0.000300
8,4.241876,0.999598,0.004536,0.762878,118,0.002594,10,1.000000,1053,1494,-0.112295,3.004282,1.821063,0.050781,195.081635,33.625092,0.000300
9,4.076153,0.999655,0.004479,0.795117,110,0.002877,10,1.000000,981,1569,-0.106836,2.492832,1.675640,0.050781,195.525848,34.829700,0.000300
10,4.065791,0.999562,0.004326,0.792742,105,0.004527,10,1.000000,859,1692,-0.100539,2.225766,1.588173,0.054688,198.629959,35.160927,0.000300
11,3.924525,0.999711,0.004231,0.828492,113,0.044255,10,1.000000,783,1770,-0.056264,2.330781,1.627710,0.054709,199.752243,36.411449,0.000278
12,4.275221,0.999783,0.004120,0.747674,113,0.050981,10,1.000000,742,1815,-0.050467,2.843197,1.777515,0.054688,206.060349,37.622116,0.000250
13,4.010996,0.999807,0.004166,0.805335,107,0.063193,10,1.000000,723,1833,-0.050657,2.389748,1.648250,0.054688,202.540695,36.650024,0.000225
14,4.207493,0.999895,0.004158,0.770232,107,0.049613,10,1.000000,714,1844,-0.042905,2.599692,1.710129,0.054688,206.100998,36.832375,0.000203
15,4.145370,0.999917,0.004074,0.766733,103,0.067085,10,1.000000,656,1902,-0.047538,2.610816,1.714676,0.054688,206.785187,37.101665,0.000182
